2015-01-16 21:22:50 INFO : (int main(int, char**) 123) - Overwriting config variable parallel.maxthreads with 4
2015-01-16 21:22:50 INFO : (int main(int, char**) 125) - 4
2015-01-16 21:22:50 INFO : (int main(int, char**) 123) - Overwriting config variable parallel.transform.threads with 4
2015-01-16 21:22:50 INFO : (int main(int, char**) 125) - 4
2015-01-16 21:22:50 INFO : (void io::formatted_input<format>::from_file(int) [with format = io::formats::two_d::netcdf] 108) - Inputting from file input/input_07.cdf...
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable x not found in file
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable z not found in file
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable u not found in file
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable w not found in file
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable P not found in file
2015-01-16 21:22:50 INFO : (int main(int, char**) 150) - element.version < 0.6.0.0
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 38
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.0886335
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.0221684
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 39
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.110802
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 40
2015-01-16 21:22:51 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file output/sc_gwave_t_07.cdf...
2015-01-16 21:22:51 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file output/sc_gwave_07.cdf...
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.13297
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.0332526
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 41
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.166223
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 42
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.199475
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.0498789
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 43
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.249354
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 44
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.299233
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.0748183
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 45
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.374051
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 46
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.44887
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.112227
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 47
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.561097
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 48
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.673324
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.168341
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 49
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.841666
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 50
2015-01-16 21:22:51 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file output/sc_gwave_t_07.cdf...
2015-01-16 21:22:51 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file output/sc_gwave_07.cdf...
2015-01-16 21:22:51 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::ascii] 158) - Outputting to file output/sc_gwave_07.dat...
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 1.01001
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.252512
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 51
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 1.26252
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 52
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 1.51503
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.378768
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 53
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 1.8938
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 54
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 2.27257
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.568151
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 55
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 2.84072
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 56
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 3.40887
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.852227
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 57
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 4.26109
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.412225
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 58
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 4.67332
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 59
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 5.08554
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.618338
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 60
2015-01-16 21:22:51 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file output/sc_gwave_t_07.cdf...
2015-01-16 21:22:51 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file output/sc_gwave_07.cdf...
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 5.70388
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 61
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 6.32222
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.198094
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 62
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 6.52031
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 63
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 6.71841
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.0792796
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 64
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 6.79769
